Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Costa Rica,9.7489,-83.7534,5/9/2020,780,6,480,294,Americas
,Cote d'Ivoire,7.54,-5.5471,5/9/2020,1667,21,769,877,Africa
,Croatia,45.1,15.2,5/9/2020,2176,87,1726,363,Europe
,Cuba,21.521757,-77.781167,5/9/2020,1754,74,1140,540,Americas
,Cyprus,35.1264,33.4299,5/9/2020,892,15,401,476,Europe
,Czechia,49.8175,15.473,5/9/2020,8095,276,4447,3372,Europe
Faroe Islands,Denmark,61.8926,-6.9118,5/9/2020,187,0,187,0,Europe
Greenland,Greenland,71.7069,-42.6043,5/9/2020,11,0,11,0,Europe
,Denmark,56.2639,9.5018,5/9/2020,10319,526,8093,1700,Europe
,Djibouti,11.8251,42.5903,5/9/2020,1189,3,834,352,Eastern Mediterranean
,Dominican Republic,18.7357,-70.1627,5/9/2020,9882,385,2584,6913,Americas
,Ecuador,-1.8312,-78.1834,5/9/2020,29071,1717,3433,23921,Americas
,Egypt,26.820553,30.802498,5/9/2020,8964,514,2002,6448,Eastern Mediterranean
,El Salvador,13.7942,-88.8965,5/9/2020,784,17,276,491,Americas
,Equatorial Guinea,1.6508,10.2679,5/9/2020,439,4,13,422,Africa
,Eritrea,15.1794,39.7823,5/9/2020,39,0,37,2,Africa
,Estonia,58.5953,25.0136,5/9/2020,1733,60,747,926,Europe
,Eswatini,-26.5225,31.4659,5/9/2020,163,2,14,147,Africa
,Ethiopia,9.145,40.4897,5/9/2020,210,5,97,108,Africa
,Fiji,-17.7134,178.065,5/9/2020,18,0,14,4,Western Pacific
,Finland,61.92411,25.748151,5/9/2020,5880,265,4000,1615,Europe
French Guiana,France,3.9339,-53.1258,5/9/2020,141,1,119,21,Europe
French Polynesia,France,-17.6797,149.4068,5/9/2020,60,0,56,4,Europe
Guadeloupe,France,16.265,-61.551,5/9/2020,154,13,104,37,Europe
Mayotte,France,-12.8275,45.166244,5/9/2020,988,11,492,485,Europe
New Caledonia,France,-20.904305,165.618042,5/9/2020,18,0,18,0,Europe
Reunion,France,-21.1151,55.5364,5/9/2020,431,0,354,77,Europe
Saint Barthelemy,France,17.9,-62.8333,5/9/2020,6,0,6,0,Europe
St Martin,France,18.0708,-63.0501,5/9/2020,39,3,30,6,Europe
Martinique,France,14.6415,-61.0242,5/9/2020,186,14,83,89,Europe
,France,46.2276,2.2137,5/9/2020,174758,26271,54886,93601,Europe
,Gabon,-0.8037,11.6094,5/9/2020,661,8,110,543,Africa
,Gambia,13.4432,-15.3101,5/9/2020,20,1,9,10,Africa
,Georgia,42.3154,43.3569,5/9/2020,626,10,297,319,Europe
,Germany,51.165691,10.451526,5/9/2020,171324,7549,143300,20475,Europe
